year,pref1,off1,pref2,off2,pref3,off3,pref_total,off_total,name
2022,121,121,37,8,77,3,235,132,Brighton Aldridge Community Academy
2022,381,342,182,16,293,2,856,360,Cardinal Newman Catholic School
2022,291,258,537,87,226,4,1054,349,Dorothy Stringer School
2022,115,115,246,24,235,10,596,149,Hove Park School
2022,232,160,234,3,203,2,669,165,King's School
2022,104,104,39,10,45,8,188,122,Longhill High School
2022,218,197,80,12,320,16,618,225,Patcham High School
2022,166,166,106,26,84,2,356,194,Portslade Aldridge Community Academy
2022,444,303,435,6,212,1,1091,310,Varndean School
2023,300,260,309,61,231,9,840,330,Blatchington Mill School
2023,92,92,34,5,34,3,160,100,Brighton Aldridge Community Academy
2023,451,351,189,9,297,0,937,360,Cardinal Newman Catholic School
2023,260,242,516,81,232,7,1008,330,Dorothy Stringer School
2023,158,132,298,40,258,8,714,180,Hove Park School
2023,241,162,229,3,198,0,668,165,King's School
2023,134,134,38,14,27,4,199,152,Longhill High School
2023,203,196,87,17,292,12,582,225,Patcham High School
2023,154,154,79,26,113,20,346,200,Portslade Aldridge Community Academy
2023,409,292,423,8,233,0,1065,300,Varndean School
2024,279,243,268,69,224,18,771,330,Blatchington Mill School
2024,73,73,27,6,39,5,139,84,Brighton Aldridge Community Academy
2024,466,347,203,12,272,1,941,360,Cardinal Newman Catholic School
2024,234,199,518,111,262,20,1014,330,Dorothy Stringer School
2024,110,110,252,41,244,19,606,170,Hove Park School
2024,242,159,224,6,202,0,668,165,King's School
2024,80,80,30,9,39,5,149,94,Longhill High School
2024,210,182,89,23,253,20,552,225,Patcham High School
2024,129,129,105,38,77,4,311,171,Portslade Aldridge Community Academy
2024,456,293,394,7,209,0,1059,300,Varndean School
2025,258,244,273,61,303,25,834,330,Blatchington Mill School
2025,83,83,37,5,33,1,153,89,Brighton Aldridge Community Academy
2025,523,349,239,11,319,0,1081,360,Cardinal Newman Catholic School
2025,215,186,479,127,228,17,922,330,Dorothy Stringer School
2025,130,130,242,27,274,14,646,171,Hove Park School
2025,252,170,280,10,219,0,751,180,King's School
2025,74,74,39,17,36,1,151,97,Longhill High School
2025,166,166,74,18,235,18,475,202,Patcham High School
2025,175,175,87,12,70,3,332,190,Portslade Aldridge Community Academy
2025,427,284,390,13,192,3,1009,300,Varndean School
2026,259,244,267,61,232,23,910,330,Blatchington Mill School
2026,128,128,48,9,68,6,350,146,Brighton Aldridge Community Academy
2026,498,352,221,8,305,0,1221,360,Cardinal Newman Catholic School
2026,301,264,412,59,238,4,1095,330,Dorothy Stringer School
2026,103,103,171,19,206,8,729,136,Hove Park School
2026,218,163,262,16,216,1,855,180,King's School
2026,72,72,31,8,30,0,151,81,Longhill High School
2026,158,158,77,23,224,17,623,204,Patcham High School
2026,163,163,79,19,59,1,360,183,Portslade Aldridge Community Academy
2026,370,274,464,23,214,3,1120,300,Varndean School
