lsoa,ward,easting,northing,catch_pre2024,catch_optionZ,zone
E01016904,E05015406,532415,106488,BACA,BACA,E01016904|BACA|BACA
E01016904,E05015406,532401,106566,BACA,BACA,E01016904|BACA|BACA
E01016900,E05015406,532799,107000,BACA,BACA,E01016900|BACA|BACA
E01016904,E05015406,532372,106406,BACA,BACA,E01016904|BACA|BACA
E01016904,E05015406,532343,106427,BACA,BACA,E01016904|BACA|BACA
E01016904,E05015406,532314,106436,BACA,BACA,E01016904|BACA|BACA
E01016904,E05015406,532373,106490,BACA,BACA,E01016904|BACA|BACA
E01016909,E05015406,532878,106912,BACA,BACA,E01016909|BACA|BACA
E01016900,E05015406,532641,106913,BACA,BACA,E01016900|BACA|BACA
E01016909,E05015406,532671,106715,BACA,BACA,E01016909|BACA|BACA
E01016909,E05015406,532926,107003,BACA,BACA,E01016909|BACA|BACA
E01016907,E05015406,533007,106992,BACA,BACA,E01016907|BACA|BACA
E01016907,E05015406,532918,106677,BACA,BACA,E01016907|BACA|BACA
E01016910,E05015406,533138,106450,BACA,BACA,E01016910|BACA|BACA
E01016900,E05015406,532493,106673,BACA,BACA,E01016900|BACA|BACA
E01016904,E05015406,532398,106455,BACA,BACA,E01016904|BACA|BACA
E01016900,E05015406,532568,106694,BACA,BACA,E01016900|BACA|BACA
E01016900,E05015406,532566,106917,BACA,BACA,E01016900|BACA|BACA
E01016912,E05015406,532370,106293,BACA,BACA,E01016912|BACA|BACA
E01016904,E05015406,532395,106539,BACA,BACA,E01016904|BACA|BACA
E01016904,E05015406,532336,106479,BACA,BACA,E01016904|BACA|BACA
E01016900,E05015406,532825,107028,BACA,BACA,E01016900|BACA|BACA
E01016900,E05015406,532751,107087,BACA,BACA,E01016900|BACA|BACA
E01016900,E05015406,532790,107128,BACA,BACA,E01016900|BACA|BACA
E01016900,E05015406,532885,107183,BACA,BACA,E01016900|BACA|BACA
