cohort_year,rec_offers,entry_year,central,lo,hi,basis
2020,2423,2027,2143.077142836894,2105.1035380684766,2181.0507476053112,Reception offers already made
2021,2353,2028,2081.1640598824642,2044.287505189899,2118.04061457503,Reception offers already made
2022,2246,2029,1986.5254902235508,1951.325854932645,2021.725125514457,Reception offers already made
2023,2141,2030,1893.6558657919068,1860.1018056147784,1927.2099259690349,Reception offers already made
2024,2179,2031,1927.2658251100256,1893.1162234631493,1961.415426756902,Reception offers already made
2025,2041,2032,1805.208604428436,1773.2217586453821,1837.19545021149,Reception offers already made
2026,1979,2033,1750.3713023830842,1719.3561295243562,1781.3864752418121,Reception offers already made
