entry_year,PAN 120,PAN 150,PAN 180,PAN 210,PAN 240
2026,100,99.30555555555556,94.86111111111111,88.19444444444444,78.47222222222221
2030,97.22222222222221,89.30555555555556,77.36111111111111,62.77777777777778,47.91666666666667
2035,94.30555555555556,82.36111111111111,67.22222222222223,50.55555555555556,30.555555555555557
