urn,name,pan,att8,p8,va_lever,fsm,prefs_per_place,wprefs_per_place,W_equal,W_pan,W_prefs,W_wprefs,W_att8
114579,Varndean School,300,53.525,0.39666666666666667,2.5614745271301587,21.65,1.404,2.2826666666666666,1,1.2043795620437956,1.6701973525863678,1.633585281357781,1.7762179624356993
114580,Dorothy Stringer School,330,53.475,0.23333333333333334,2.9231517055064984,19.1,0.7884848484848485,1.7142424242424241,1,1.3248175182481752,0.9379809875312374,1.2267937468990238,1.7679777223165283
114581,Longhill High School,270,37.225,-0.61,-1.686466118237096,33.625,0.3437037037037037,0.442037037037037,1,1.083941605839416,0.4088696695157089,0.3163428143335461,0.39007601977099415
114606,Blatchington Mill School,330,50.95,0.09666666666666666,0.2507184691314812,17.325,0.8412121212121213,1.455909090909091,1,1.3248175182481752,1.000705311831943,1.0419180761846139,1.3979562709989226
114607,Hove Park School,180,45.175,-0.043333333333333335,0.8574201502674708,31.299999999999997,0.6844444444444444,1.6941666666666668,1,0.7226277372262774,0.8142146005011099,1.2124265760077282,0.8170429326466895
114608,Patcham High School,225,47.75,-0.27,-3.4422654475282854,20.35,0.8488888888888889,1.3239999999999998,1,0.9032846715328468,1.009837588933195,0.9475176310679184,1.0381199778239063
114611,Cardinal Newman Catholic School,360,53.15,0.37333333333333335,-0.5029385980680665,17.2,1.2883333333333333,1.7819444444444446,1,1.4452554744525548,1.5326003722094759,1.2752445458418717,1.7153400890924906
136164,Brighton Aldridge Community Academy,180,36.75,-0.5,1.209694577571529,47.9,0.5522222222222223,0.7236111111111111,1,0.7226277372262774,0.6569231435861229,0.5178506690441271,0.37321947171238096
137063,Portslade Aldridge Community Academy,220,45.9,0.043333333333333335,1.1650605189015302,27.75,0.7154545454545455,1.014318181818182,1,0.8832116788321168,0.8511041935285364,0.7258945323153188,0.874031697900421
139409,King's School,165,56.9,0.7066666666666667,2.007055391128885,16.075,1.4363636363636363,2.4957575757575756,1,0.6624087591240876,1.708697110260594,1.7860833126145237,2.4311426268268743
144661,Peacehaven Community School,180,40.025000000000006,-0.17666666666666667,-1.4882466360647406,28.05,0.3437037037037037,0.442037037037037,1,0.7226277372262774,0.4088696695157089,0.3163428143335461,0.506103727135789
