name,modelled,mean_travel,site,beta,scope,pan2024,pan2026,fill
Brighton Aldridge Community Academy,184.2881748193233,39.29734109742349,now,1.8,city,180,180,1.023823193440685
Cardinal Newman Catholic School,288.732650975235,29.552680883244356,now,1.8,city,360,360,0.802035141597875
Dorothy Stringer School,230.67374291934044,32.947587787706986,now,1.8,city,330,330,0.6990113421798195
Hove Park School,255.0528093756476,31.397855611871215,now,1.8,city,180,180,1.4169600520869312
King's School,170.95676677892436,39.249782113543624,now,1.8,city,165,165,1.0361016168419659
Longhill High School,203.05614764078481,36.03161987522315,now,1.8,city,270,210,0.7520598060769808
Patcham High School,209.78083039457775,34.268337161622554,now,1.8,city,225,225,0.9323592461981233
Portslade Aldridge Community Academy,249.62407987320046,30.2052062642592,now,1.8,city,220,220,1.1346549085145476
Varndean School,247.00222491059228,32.575699439604456,now,1.8,city,300,270,0.8233407497019742
Blatchington Mill School,219.8280900466209,33.41292352164964,elm,1.8,city,330,330,0.6661457274140027
Brighton Aldridge Community Academy,164.937297162263,40.63497111816963,elm,1.8,city,180,180,0.9163183175681279
Cardinal Newman Catholic School,275.11067247870625,29.46857620882669,elm,1.8,city,360,360,0.7641963124408507
Dorothy Stringer School,215.9367651589355,33.05513523212329,elm,1.8,city,330,330,0.654353833814956
Hove Park School,245.64578684623984,31.112481562294604,elm,1.8,city,180,180,1.3646988158124436
King's School,165.39308038975744,38.828680319442846,elm,1.8,city,165,165,1.0023823053924694
Longhill High School,310.9458045801271,27.822121116679632,elm,1.8,city,270,210,1.151651128074545
Patcham High School,198.1599880674088,34.213083237945156,elm,1.8,city,225,225,0.8807110580773724
Portslade Aldridge Community Academy,242.2541038995359,29.78623148992383,elm,1.8,city,220,220,1.1011550177251632
Varndean School,228.4402743737927,32.95726989604204,elm,1.8,city,300,270,0.7614675812459757
Blatchington Mill School,225.59420684195248,33.22131922865525,now,1.9000000000000001,city,330,330,0.6836188086119772
Brighton Aldridge Community Academy,183.44402629392783,38.546085690368386,now,1.9000000000000001,city,180,180,1.01913347941071
Cardinal Newman Catholic School,291.7283728013252,28.97965491615514,now,1.9000000000000001,city,360,360,0.8103565911147922
Dorothy Stringer School,229.45880476214018,32.341903054990595,now,1.9000000000000001,city,330,330,0.6953297114004248
Hove Park School,255.2849731936574,30.833279513496873,now,1.9000000000000001,city,180,180,1.4182498510758745
King's School,167.98988331486623,38.40441199759914,now,1.9000000000000001,city,165,165,1.0181205049385833
Longhill High School,205.8707088067376,35.04260626100874,now,1.9000000000000001,city,270,210,0.7624841066916208
Patcham High School,208.54603766929503,33.45522243437928,now,1.9000000000000001,city,225,225,0.9268712785302001
Portslade Aldridge Community Academy,251.39608863566517,29.393844655776515,now,1.9000000000000001,city,220,220,1.142709493798478
Varndean School,247.33876068382017,32.04284650838583,now,1.9000000000000001,city,300,270,0.8244625356127339
Blatchington Mill School,217.9146519919198,32.87604266631943,elm,1.9000000000000001,city,330,330,0.6603474302785449
Brighton Aldridge Community Academy,162.53679329736073,39.92407313307944,elm,1.9000000000000001,city,180,180,0.9029821849853374
Cardinal Newman Catholic School,277.5689822519135,28.86919456468427,elm,1.9000000000000001,city,360,360,0.7710249506997597
Dorothy Stringer School,214.1144755214758,32.39905530431733,elm,1.9000000000000001,city,330,330,0.6488317440044722
Hove Park School,245.69033142395114,30.52502643875169,elm,1.9000000000000001,city,180,180,1.3649462856886174
King's School,162.49783972331994,37.95790489690691,elm,1.9000000000000001,city,165,165,0.9848353922625451
Longhill High School,318.14197137409343,27.27462442410629,elm,1.9000000000000001,city,270,210,1.1783035976818275
Patcham High School,196.5848722247082,33.342448543828866,elm,1.9000000000000001,city,225,225,0.8737105432209253
Portslade Aldridge Community Academy,243.95212939563265,28.95795430514774,elm,1.9000000000000001,city,220,220,1.108873315434694
Varndean School,227.6498157990121,32.395289927354746,elm,1.9000000000000001,city,300,270,0.7588327193300403
Blatchington Mill School,223.62135719456813,32.72451206238834,now,2,city,330,330,0.6776404763471762
Brighton Aldridge Community Academy,182.79137614454268,37.82526079572235,now,2,city,180,180,1.0155076452474594
Cardinal Newman Catholic School,294.6705144334675,28.43113613617511,now,2,city,360,360,0.8185292067596319
Dorothy Stringer School,228.1286948851216,31.76707155858252,now,2,city,330,330,0.6912990754094595
Hove Park School,255.4343369405654,30.295258778216496,now,2,city,180,180,1.4190796496698077
King's School,165.09911165168145,37.583728673289684,now,2,city,165,165,1.0006006766768574
Longhill High School,208.94697342219513,34.145671015186075,now,2,city,270,210,0.7738776793414635
Patcham High School,207.25840229871855,32.68111497319495,now,2,city,225,225,0.9211484546609713
Portslade Aldridge Community Academy,253.06979607915403,28.646816802934666,now,2,city,220,220,1.1503172549052456
Varndean School,247.63129995337286,31.536640988815986,now,2,city,300,270,0.8254376665112428
Blatchington Mill School,215.9513092609222,32.36295326631989,elm,2,city,330,330,0.6543979068512794
Brighton Aldridge Community Academy,160.29855967817247,39.23331931279616,elm,2,city,180,180,0.8905475537676248
Cardinal Newman Catholic School,280.01607032753765,28.29465974749211,elm,2,city,360,360,0.7778224175764935
Dorothy Stringer School,212.21789089534212,31.771380932871345,elm,2,city,330,330,0.6430845178646731
Hove Park School,245.68624778391708,29.96621948747719,elm,2,city,180,180,1.3649235987995394
King's School,159.70117944073593,37.1157196410621,elm,2,city,165,165,0.9678859360044602
Longhill High School,325.36985743844826,26.781387427808326,elm,2,city,270,210,1.2050735460683268
Patcham High School,194.99461894472395,32.51015367156404,elm,2,city,225,225,0.8666427508654397
Portslade Aldridge Community Academy,245.58114901976018,28.197772969571613,elm,2,city,220,220,1.116277950089819
Varndean School,226.8349802138275,31.85567673233171,elm,2,city,300,270,0.7561166007127583
Blatchington Mill School,221.5864099194767,32.247395758415784,now,2.1,city,330,330,0.6714739694529597
Brighton Aldridge Community Academy,182.31677455831962,37.13532748594795,now,2.1,city,180,180,1.0128709697684424
Cardinal Newman Catholic School,297.54480741730134,27.907842884982816,now,2.1,city,360,360,0.8265133539369481
Dorothy Stringer School,226.69627297479016,31.221010102623254,now,2.1,city,330,330,0.6869584029539095
Hove Park School,255.51304850703866,29.782807306085513,now,2.1,city,180,180,1.4195169361502147
King's School,162.2890695694627,36.78829675272657,now,2.1,city,165,165,0.9835701186028042
Longhill High School,212.24919069694985,33.33563613927707,now,2.1,city,270,210,0.7861081136924069
Patcham High School,205.92526008196404,31.944158787800532,now,2.1,city,225,225,0.9152233781420624
Portslade Aldridge Community Academy,254.6490898474434,27.959391443816422,now,2.1,city,220,220,1.1574958629429246
Varndean School,247.88193943064093,31.055778927603413,now,2.1,city,300,270,0.8262731314354698
Blatchington Mill School,213.95595034528915,31.87248881866348,elm,2.1,city,330,330,0.6483513646826944
Brighton Aldridge Community Academy,158.21591761516333,38.562845511062655,elm,2.1,city,180,180,0.8789773200842408
Cardinal Newman Catholic School,282.43793825256466,27.74609823966639,elm,2.1,city,360,360,0.7845498284793463
Dorothy Stringer School,210.25998132552434,31.17060289121663,elm,2.1,city,330,330,0.6371514585621949
Hove Park School,245.64412863981673,29.43523072405989,elm,2.1,city,180,180,1.3646896035545373
King's School,157.0047681167475,36.30291862717122,elm,2.1,city,165,165,0.9515440491924091
Longhill High School,332.5943127683919,26.338695604306327,elm,2.1,city,270,210,1.231830788031081
Patcham High School,193.39489396497905,31.71502888744929,elm,2.1,city,225,225,0.8595328620665735
Portslade Aldridge Community Academy,247.14304075198612,27.50088017465737,elm,2.1,city,220,220,1.1233774579635734
Varndean School,226.00093122292458,31.33759800061192,elm,2.1,city,300,270,0.7533364374097485
Blatchington Mill School,219.50764793395243,31.788762615237975,now,2.2,city,330,330,0.6651746907089467
Brighton Aldridge Community Academy,182.00557552393624,36.47652057653431,now,2.2,city,180,180,1.0111420862440903
Cardinal Newman Catholic School,300.3386643895028,27.410011552570946,now,2.2,city,360,360,0.8342740677486189
Dorothy Stringer School,225.17437017331204,30.701674834240816,now,2.2,city,330,330,0.6823465762827637
Hove Park School,255.53241320192797,29.2948771961119,now,2.2,city,180,180,1.4196245177884887
King's School,159.56375404470677,36.01837875305171,now,2.2,city,165,165,0.9670530548164047
Longhill High School,215.74174651285108,32.606779441902276,now,2.2,city,270,210,0.7990435056031522
Patcham High School,204.55498928424225,31.242340719369974,now,2.2,city,225,225,0.9091332857077433
Portslade Aldridge Community Academy,256.1399215698431,27.326954264793105,now,2.2,city,220,220,1.1642723707720142
Varndean School,248.09278036911263,30.598938665645733,now,2.2,city,300,270,0.8269759345637088
Blatchington Mill School,211.94396959444626,31.403458761305604,elm,2.2,city,330,330,0.6422544533165038
Brighton Aldridge Community Academy,156.2803713818576,37.91273719801078,elm,2.2,city,180,180,0.8682242854547645
Cardinal Newman Catholic School,284.8213567185873,27.224050941548526,elm,2.2,city,360,360,0.7911704353294092
Dorothy Stringer School,208.25300250034195,30.595137320360354,elm,2.2,city,330,330,0.6310697045464908
Hove Park School,245.57333248064506,28.931061055409835,elm,2.2,city,180,180,1.3642962915591392
King's School,154.4096055442411,35.51982829877392,elm,2.2,city,165,165,0.9358157911772187
Longhill High School,339.78488931516586,25.94259834292362,elm,2.2,city,270,210,1.258462553019133
Patcham High School,191.79200715689868,30.955577825103976,elm,2.2,city,225,225,0.8524089206973274
Portslade Aldridge Community Academy,248.64146771280045,26.862468863743157,elm,2.2,city,220,220,1.1301884896036385
Varndean School,225.1518605984031,30.840150437271365,elm,2.2,city,300,270,0.750506201994677
Blatchington Mill School,217.40105004757513,31.347507688213568,now,2.3,city,330,330,0.6587910607502276
Brighton Aldridge Community Academy,181.84263038134898,35.84885601140336,now,2.3,city,180,180,1.0102368354519389
Cardinal Newman Catholic School,303.0415527802801,26.9374853177686,now,2.3,city,360,360,0.8417820910563336
Dorothy Stringer School,223.57554031912548,30.20712026555438,now,2.3,city,330,330,0.6775016373306832
Hove Park School,255.50270251589004,28.8304020826659,now,2.3,city,180,180,1.4194594584216114
King's School,156.92648795750563,35.2740049577065,now,2.3,city,165,165,0.9510696239848826
Longhill High School,219.38992420392213,31.953106146753598,now,2.3,city,270,210,0.8125552748293412
Patcham High School,203.15644178185292,30.57362254626906,now,2.3,city,225,225,0.9029175190304575
Portslade Aldridge Community Academy,257.5494694528354,26.74510573677141,now,2.3,city,220,220,1.1706794066037973
Varndean School,248.26606356305157,30.164819283751026,now,2.3,city,300,270,0.8275535452101719
Blatchington Mill School,209.92832303254218,30.954686300867873,elm,2.3,city,330,330,0.636146433431946
Brighton Aldridge Community Academy,154.48228748096486,37.28302515944719,elm,2.3,city,180,180,0.8582349304498048
Cardinal Newman Catholic School,287.1544395682153,26.728571472237846,elm,2.3,city,360,360,0.7976512210228203
Dorothy Stringer School,206.20840201259784,30.043400406986482,elm,2.3,city,330,330,0.6248739454927208
Hove Park School,245.48192171738629,28.452607509562696,elm,2.3,city,180,180,1.3637884539854794
King's School,151.9160733609829,34.76640516216053,elm,2.3,city,165,165,0.9207034749150478
