id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN2 7HN,54,62,21,61,59,64,49,57,62,75,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,58,-0.059493,50.804198,E01016960,E06000043,E05015412
BN2 7HP,45,52,21,61,54,51,47,49,62,68,31,45,71,84,33,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.058445,50.803461,E01016960,E06000043,E05015412
BN2 7HQ,45,52,21,61,54,51,47,49,62,68,31,45,71,84,44,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.056511,50.803226,E01016960,E06000043,E05015412
BN2 7HR,45,52,21,61,54,51,47,49,62,68,31,45,71,84,44,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.05696,50.803005,E01016960,E06000043,E05015412
BN2 7HS,54,62,21,61,59,64,49,57,62,75,31,45,82,84,44,longhill,peacehaven,seahaven,21,31,45,84,21,57.6,-0.056569,50.802836,E01016960,E06000043,E05015412
BN2 7HT,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.05745,50.80554,E01016960,E06000043,E05015412
BN2 7HU,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.057097,50.805498,E01016959,E06000043,E05015412
BN2 7HX,45,52,21,61,54,51,47,49,62,68,31,45,71,84,44,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.05825,50.80371,E01016960,E06000043,E05015412
BN2 7HY,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.055205,50.803209,E01016960,E06000043,E05015412
BN2 7HZ,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.058086,50.805623,E01016959,E06000043,E05015412
BN2 7JB,54,62,21,61,59,64,49,57,62,75,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,58,-0.058474,50.80414,E01016960,E06000043,E05015412
BN2 7JD,45,52,21,61,54,51,47,49,62,68,31,45,71,84,44,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.059825,50.803727,E01016960,E06000043,E05015412
BN2 7JP,54,62,21,61,59,64,49,57,62,75,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,58,-0.056558,50.802432,E01016960,E06000043,E05015412
BN2 7JQ,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.058672,50.804823,E01016960,E06000043,E05015412
BN2 7JR,45,52,21,61,54,51,47,49,62,68,31,45,71,84,33,longhill,peacehaven,varndean,21,31,45,84,21,52.9,-0.058495,50.803624,E01016960,E06000043,E05015412
BN2 7JT,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.055391,50.803518,E01016960,E06000043,E05015412
BN2 7LA,87,91,47,94,93,90,83,91,99,107,72,84,112,93,70,longhill,peacehaven,cardinal_n,47,72,83,112,47,88.8,-0.045989,50.82035,E01016962,E06000043,E05015412
BN2 7LB,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.059703,50.805299,E01016960,E06000043,E05015412
BN2 7LE,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.058729,50.805166,E01016960,E06000043,E05015412
BN2 7LG,54,62,21,61,59,64,49,57,62,75,31,45,82,84,44,longhill,peacehaven,seahaven,21,31,45,84,21,57.6,-0.05652,50.80369,E01016960,E06000043,E05015412
BN2 7XX,54,62,21,67,66,64,49,59,71,80,37,45,82,84,44,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.058672,50.804823,E01016960,E06000043,E05015412
BN2 8AA,54,62,21,61,59,64,49,57,62,75,31,45,82,84,44,longhill,peacehaven,seahaven,21,31,45,84,21,57.6,-0.047116,50.801833,E01016961,E06000043,E05015412
BN2 8AB,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.036448,50.802401,E01016961,E06000043,E05015412
BN2 8AD,54,62,21,67,66,64,49,59,71,80,31,45,82,84,44,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.047212,50.802612,E01016959,E06000043,E05015412
BN2 8AE,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.046179,50.802861,E01016961,E06000043,E05015412
